English,Definition (Black's),Spanish,Definition (DEJ RAE),Comments
accusation,(14c) 1. A formal charge of criminal wrongdoing. - The accusation is usu. presented to a court or magistrate having jurisdiction to inquire into the alleged crime. 2. A statement that a person has engaged in an illegal or immoral act.,acusación,"1. Pen. y Proc. Escrito formal que identifica al acusado y los hechos de los que se le acusa, califica el delito que se considera cometido por el acusado y solicita al juez o tribunal su enjuiciamiento para la imposición de las penas correspondientes. 2. Pen. y Proc. Parte procesal que ejerce la acusación, que puede ser el fiscal o ministerio público, el agraviado por el delito, y también cualquier persona en los casos de delitos perseguibles mediante acción popular o pública.",
accusatory instrument,See CHARGING INSTRUMENT.,,,
Indictment,"1. The formal written accusation of a crime, made by a grand jury and presented to a court for prosecution against the accused person. See Fed. R. Crim. P. 7. [Cases: Indictment and Information 17.]2. The act or process of preparing or bringing forward such a formal written accusation. Cf. INFORMATION; PRESENTMENT (2).","veáse imputación, procesamiento, auto de vinculación a proceso.",,
Charge,"1. A formal accusation of an offense as a preliminary step to prosecution <a murder charge>. Also termed criminal charge. [Cases: Criminal Law (;:::>208.1.)2. An instruction or command <a mother's
charge to her son>. 3. JURY CHARGE <review the charge for appealable error>. 4. An aSSigned duty or task; a responsibility <the manager's charge to open and close the office>. 5. An encumbrance, lien, or claim <a
charge on property>. 6. A person or thing entrusted to another's care <a charge of the estate>. 7. Price, cost, or expense <free ofcharge>.","veáse imputación, procesamiento, auto de vinculación a proceso.",,
Charging Document,Not in Black's,,,
Charging Instrument,A formal document - usu. either an indictment or an information - that sets forth an accusation ofa crime. - Also termed accusatory instrument.,,,Frequently rendered by interpreters and translators in the United States as 'documento acusatorio' or 'documento inculpatorio'.
Ticket,"ticket, n. 1. A certificate indicating that the person to whom it is issued, or the holder, is entitled to some right or privilege <she bought a bus ticket for Miami>. 2. CITATION (2) <he got a speeding ticket last week>. 3. BALLOT (2) <they all voted a straight-party ticket>.",boleta,"1. Adm. En algunos países hispanoamericanos, multa que se cobra a causa de una infracción de tráfico.","Note that in Spain, common usage for ""I got a traffic ticket"" would be ""me multaron"" or ""me dieron una multa"", which is used in the RAE's own defintion of ""boleta"" here; in other words, both the physical ticket as well as the fine one has to pay are expressed in the same word, multa. This quickly becomes problematic in US environment, wherein the ticket itself may contain charges that are significantly beyond what a simple multa would be--a DUI charge, or drag racing, for example."
Citation,"1. A court-issued writ that commands a person to appear at a certain time and place to do something demanded in the writ, or to show cause for not doing so. 2. A police-issued order to appear before a judge on a given date to defend against a stated charge, such as a traffic violation. Also termed appearance ticket. [Cases: Automobiles (;:::>351.1.] 3. A reference to a legal precedent or authority, such as a case, statute, or
treatise, that either substantiates or contradicts a given position. Often shortened to (in sense 3) cite.",citación,"Can. Decreto del juez en el que llama a juicio a las partes, a los testigos, a los peritos, al defensor del vínculo, etc., en cualquier fase del juicio, para que se presenten en día y hora establecidos ante la sede del tribunal para realizar un determinado acto. Al decreto de citación hace referencia, por ejemplo, el c. 1507 1 del Codex Iuris Canonici.",
Information,"(15c) A formal criminal charge made by a prosecutor without a grand-jury indictment. See Fed. R. Crim. P. 7.• The information is used to prosecute misdemeanors in most states, and about half the states allow its use in felony prosecutions as well. - Also termed bill of information. Cf. INDICTMENT. [Cases: Indictment and Information","veáse imputación, procesamiento, auto de vinculación a proceso.",,
"see Indictment, Information.",,imputación,Pen. Decisión judicial por la que se atribuye a un sospechoso la presunta participación en un hecho delictivo.,"Note that this definition includes judicial, which implies that a judge (maybe a 'juez de instrucción') is involved."
"see Indictment, Information.",,procesamiento,"1. Pen. y Proc. Resolución judicial en la que se imputa formalmente un delito a determinada persona, desde que resultare del sumario algún indicio racional de criminalidad contra la misma.",
"see Indictment, Information.",,auto de vinculación a proceso,"Pen.; Méx. En el sistema penal acusatorio adversarial, acto procesal mediante el cual el juez determina que el imputado debe pasar a la siguiente etapa de investigación (fase intermedia).",
"in general, report, police report",,denuncia,"1. Pen. Declaración de conocimiento por la que se informa a las autoridades (órgano judicial, Ministerio Fiscal o autoridad con funciones de policía judicial) de la existencia de un hecho que reviste los caracteres de delito o falta.",
