English,Spanish,Commentary
Assault,Abusar de (sexo),"This is a frequently-used expression which, at least at Cleveland EOIR, we have observed Central American speakers use when they wish to describe what we would describe as a rape, or an attempted rape (see Sex Crimes reference for more on this topic). The dilemma is that, when a speaker simply says, 'El abusó de mí', how far do we go? Do we say simply 'He raped me', or do we use the arguably equivalent 'He took advantage of me', and leave it up to the attorneys to clarify? There is danger in both overstating and in understating. It is clear to us that what is meant is that a sexual act was committed, and likely, one that involved penetration and force (again, see the Sex Crimes reference for why this is particularly pertinent). Based on our experience with the expression and the stories that it is used to tell, as well as the technical definition of 'sexual assault', we recommend 'assault' for this expression: it communicates the force inherent in the expression, while still leaving it vague enough that it should provoke the necessary follow-up questions from counsel."
,Agresión,See Sex Crimes reference for more on this.
Abuse (v.),Abusar de (autoridad),"This is the other meaning of this elliptical phrase -- used to describe someone taking advantage of, or more properly, abusing their power or authority."
,Maltratar,"In a similar way to the discussion surrounding 'abusar de', the moment when a speaker simply says 'me maltrató' can be a delicate one. There is a risk in rendering this as 'he/she mistreated me', and a risk in rendering it as 'he/she abused me'. Something to keep in mind are the long-term effects of any kind of abuse, and the effort that it often times takes for the victim to discuss that abuse later. As interpreters, we are sworn to transparently transfer meaning from one language to another. We also must consider being trauma informed when interpreting issues of trauma, and not to shy away from calling abuse what it is, even when the speaker struggles to call it that. Both 'abuso' and 'maltrato' are used in Spanish, although based on anecdotal evidence, 'maltrato' seems, at least in many dialects, to be a preferential or less English-influenced choice, especially when describing abuse experienced by the speaker."
Abuse (n.),"Abuso, maltrato",See discussion of abuse (v.).
Stalking,Acecho,Compare with 'acoso' and 'hostigamiento'.
"Harrassment, bullying",Acoso,Compare with 'acecho' and 'hostigamiento'.
"Damage, harm, injury",Daño,"This is a generic concept, and can be applied in a literal sense (physical harm) as well as abstract."
"Torts, injuries",Daños,"This refers to the concept, used in civil law, of damages for which a third party allegedly has responsibility."
Pain and suffering,Daños morales,"The Spanish term here is a term of art which, as discussed in the Sex Crimes reference, is a holdout from a time where criminal issues were more morally defined."
Damages (tort),Daños y perjuicios,"This refers to the concept, used in civil law, of damages for which a party seeks to be made whole."
Neglect (v),Desamparar,"Neglect' is a term which, in English, can have a broad range of usages. The meaning under examination here refers more specifically to the neglecting of children or other family members for whose care one is responsible. 'Desamparar' is a highly specific verb in Spanish which is a beautiful equivalent for this usage. Be careful of 'neglect' in more complex verbal constructions, such as 'neglecting one's duty', which would be more akin to incumplimiento."
Overlook,Descuidar,"While descuidar may feel like an intuitive equivalent to neglect from its denotative meaning, it is nowhere near strong enough in its connotative meaning. A descuido is when you leave your coffee cup on top of the car -- not when you leave the child alone for three days."
"Hit, blow, impact, (sometimes) bruise",Golpe,
"To beat, batter, beat up",Golpear,
Beating,Golpes,
Harrassment,Hostigamiento,
Intersectionality,Interconexión,
Injury,Lesión,
Injuries,Lesiones,
"Machismo, male supremacy, chauvinism",Machismo,
"Chauvinist, male supremacist",Machista,
"Traffic, trafficking (of persons)",Trata,
"Sexual slavery, forced prostitution",Trata de blancas,
Gender-based violence,Violencia de género,
Intimate partner violence,Violencia de pareja,"In Spain, malos tratos"
Domestic violence,Violencia doméstica,
"Domestic violence, violence at/in the home",Violencia en el hogar,
Intrafamily violence,Violencia intrafamiliar,
"Chauvinist, male supremacist violence",Violencia machista,
Sexual violence,Violencia sexual,
Mistreat,,
