ENGLISH,SPANISH,NOTES
,,
social services ,asistencia social (ES),
"public assistance, benefits","asistencia pública (MX), ayuda pública, subvención (ES)","The usage of terms surrounding these concepts is very messy: people use a number of terms interchangeably, or sometimes with different meanings that aren't necessarily standardized. You might think that 'public benefits' would refer, specifically, to state funded healthcare, but many people use it interchangeably with 'public assistance', which can (and does) refer to monies received by persons who for whatever reason need financial assistance. 'Public assistance' can also refer to monies provided by the government to help develop certain industrial sectors, or small business loans (this, in Spain, is also referred to as ayudas públicas, so at least the ambiguity and confusion exist in both languages). When interpreting, do your best to match the specificity or vagueness of the source, and don't be afraid to use Spanglish or US usage ('beneficios', 'aseguranza médica'). After all, in many Spanish-speaking countries, publicly-funded healthcare is the norm, and so asking someone 'sus hijos tienen la sanidad pública?' might not make a lot of sense, especially in the US context."
benefits,beneficios sociales (ES - benefits provided by an employer); beneficios., See also 'public assistance'.
welfare,programas de bienestar,"Welfare' was a specific program rolled out across the United States during the 1990s, and has become a generalized term synonymous with 'public assistance' or 'public benefits', and is the topic of much heated debate. An interesting counterpoint to this is the way 'bienestar' is used in Spain, wherein most political parties, from the center-right through the left, talk about how important it is to 'mantener el estado de bienestar'."
social worker,asistente social (ES),
"food stamps, food money (UK)","estampillas de comida, cupones de alimentos","Regardless of how these concepts may be referred to in other countries, these are the most widespread terms used for them in Spanish here in the United States. Regardless of the fact that they are now, generally, electronically distributed on a card and there are no cupones or estampillas. "
case manager,"""gerente de casos"" (US usage), el/la que lleva su caso, el/la asistente a cargo, encargado de su caso",
public health insurance,"seguro médico público, del gobierno","In a number of Spanish-speaking countries, something close to universal health care has been instituted, frequently referred to as something similar to 'sanidad universal' or 'asistencia sanitaria pública', etc. In order to avoid confusion with such a system which (as of the time of writing, 2020) does not exist in the United States, refer more specifically to a government-provided insurance plan."
WIC,"WIC, el programa WIC",
"food bank, food pantry",banco de alimentos,
welfare state,estado de bienestar,
,ingreso mínimo vital,
,subsidio,
,préstamo,
"unemployment, the dole (UK)",el paro,
,renta mínima,
