english,english-definition,spanish,spanish-definition,comments,proposals,category,tags
212C waiver,,exoneración conforme con la 212C,,,,,
,,,,,,,
abandon an appeal,,desistir a la apelación ,,"As per Jowers, pp. 166, various entries",,,
,,,,,,,
,,,,,,,
"abandonment of application, claim, relief ",,"desestimación de la apelación, la solicitud, el amparo solicitado",,"As per Jowers, pp. 166, various entries",,,
,,,,,,,
,,,,,,,
ABC (American Baptist Church),,Iglesia Bautista Norteamericana,,This may seem like a random term. Fair enough. It refers to case law: the American Baptist Churches v. Thornburgh (ABC) Settlement Agreement https://www.uscis.gov/humanitarian/refugees-and-asylum/asylum/american-baptist-churches-v-thornburgh-abc-settlement-agreement,,,
,,,,,,,
,,,,,,,
absentia order ,,orden en ausencia,,,,,
,,,,,,,
academic training ,,formación academica,,,,,
,,,,,,,
accredited representative,,representante acreditado,,"See 'Qualified Representative'. Qualified -- works with those who are not competent. Accredited -- not necessarily an attorney, can be prime.",,,
,,,,,,,
,,,,,,,
acquired citizenship,,ciudadanía de orígen/por nacimiento,,"In Spain and Guatemala, this is 'Ciudadanía de orígen'; in Mexico, 'por nacimiento'. See also 'Derivative Citizenship'.",,,
,,,,,,,
,,,,,,,
adjourn the case,,levantar la sesión,,"When a case is being 'adjourned' for a lengthy amount of time (weeks, months, years) consider 'suspender la sesión'.",,,
,,,,,,,
,,,,,,,
adjudication,,adjudicación,,"Manual de procedimientos y criterios para determinar la condición de refugiado y directrices sobre protección internacional, 169, 220, 235. También véase el diccionario del español jurídico de la RAE.",,,
,,,,,,,
,,,,,,,
adjudication withheld,,suspensión de la adjudicación,,See adjudication,,,
,,,,,,,
,,,,,,,
"adjustment of, to immigrant status ",,(visa to LPR) cambio de condicón (migratoria); (out of status/undocumented to LPR) regularización,,"Status is 'condición'. This is the term used by Mexico; Spain doesn't have a clear, obvious term for it. There is an asterisk here: ""adjustment"" covers a very broad range of circumstances, everything from SIJS to 42B to someone here on an H1B getting an I-130 through a USC spouse and then processing an I-485. In Mexico, going from undocumented/out of status to LPR equivalent would be ""regularización"", whereas going from a student visa to a residence status would be ""cambio de condición de estancia"". So, cambio de condición is always correct; regularización is correct when going from undocumented to LPR. https://www.gob.mx/tramites/identidad See 'nationality and status' reference for more guidance.",,,
,,,,,,,
,,,,,,,
"administrative closing, closure",,sobreseímiento a nivel administrativo,,"RAE, 'sobreseer': ""Der. Poner fin a un procedimiento penal o sancionador sin llegar a una resolución sobre el fondo.""",,,
,,,,,,,
,,,,,,,
administrative processing,,tramitación administrativa,,,,,
,,,,,,,
admissibility of evidence,,admisibilidad de las pruebas,,,,,
,,,,,,,
admissible (to enter),,admisible (para entrar al país),,See discussion under 'Entry'.,,,
,,,,,,,
admission,,admisión; internación,,See discussion under 'Entry'.,,,
,,,,,,,
,,,,,,,
admit allegations (and concede removability),,"admitir las pretensiones de hecho/fácticas, reconocer la expulsabilidad",,,,,
,,,,,,,
admitted or paroled ,,Admitido o admitido condicionalmente al país,,,,,
,,,,,,,
adopted child,,Menor adoptado,,,,,
,,,,,,,
advance parole,,Permiso condicional anticipada de entrar al país,,,,,
,,,,,,,
affidavit of support,,Declaración jurada de patrocinio económico,,As per USCIS.,,,
,,,,,,,
,,,,,,,
"affidavit, sworn statement",,"afidávit, declaración jurada",,,,,
,,,,,,,
affirmative asylum process,,Proceso de asilo afirmativo,,,,,
,,,,,,,
affirmed (an appeal) ,,"declarar firme (la resolución recurrida o apelada), declarar haber lugar",,See 'Decisions and Appeals' reference,,,
,,,,,,,
,,,,,,,
age out,,"pasar, sobrepasar la edad máxima",,,,,
,,,,,,,
agent,,(Law Enforcement officer) Agente; (Government employee) Funcionario; (Authorized representative) Apoderado,,,,,
,,,,,,,
aggravated felon,,"Autor, con antecedentes de delitos con agravantes",,,,,
,,,,,,,
aggregate term of imprisonment,,periodo total de reclusión,,,,,
,,,,,,,
AILA,,AILA,,"Absent an official translation from AILA, treat their acronym as a proper noun and leave it untranslated; if clarification is required, the full name is American Immigration Lawyers Association.",,,
,,,,,,,
,,,,,,,
alias,,Alias,,"Also consider sobrenombre, which depending on the context can have meanings as varied as nickname, alias, AKA, or nom de guerre.",,,
,,,,,,,
,,,,,,,
alien ,,Extranjero,,,,,
,,,,,,,
"alien registration number (""A"" Number)/alien ID number/alien number ",,Número de extranjero,,,,,
,,,,,,,
alien smuggling ,,Trata de extranjeros,,"While in English, 'smuggling' can be used for any sort of thing or person, Spanish does make a differentiation between contrabando, de bienes, and trata, de personas. That said, a common question is did you hire a smuggler to get you across the border? Though this could be rendered simply with the term 'contrabandista', 'traficador de personas' is also found in the Mexican press and is readily understood.",,,
,,,,,,,
,,,,,,,
aliens previously removed ,,Extranjero previamente expulsado,,,,,
,,,,,,,
allegations v. charges,,pretensiones de hecho/fácticas v. imputaciones,,,,,
,,,,,,,
alleged persecution ,,"presunta, supuesta persecución",,"Alegada' would mean 'that has been argued', roughly, and therefore is not the meaning sought here. Two good options are 'presunto' and 'supuesto'.",,,
,,,,,,,
,,,,,,,
alternate order of removal,,Orden alternativa de expulsión,,,,,
,,,,,,,
annual limit,,límite anual,,A number of different types of visas (including those granted through 42-B relief) have limits as to the number that can be issued each year.,,,
,,,,,,,
,,,,,,,
Antiterrorism and Effective Death Penalty Act,,Ley de Antiterrorismo y de una Pena de Muerte Efectiva,,"The 'death penalty' part of this refers to provisions for the death penalty in the use of plastic explosives, as well as in the killing or attempted killing of multiple people. (https://www.congress.gov/104/plaws/publ132/PLAW-104publ132.htm) The term 'effective' has a few potential meanings, primarily A) in effect, as in, vigente, B) having the desired effect, efectivo, as well as C) having the end result of despite it not being specifically provided for, which would be something like realor actual. At no point in the above-cited legal text is the term effective, in fact, defined in the way it is used in the title of the law. Are we creating an ""effective death penalty"" despite the absence of a death penalty, or are we creating a ""death penalty"" that is more effective, as in, actually results in deaths of those convicted of the corresponding qualifying crimes? It would appear that we are, in fact, referring to the latter -- as the law provides for the death penalty in more cases than previously, and strips away some (apparently many) habeas corpus protections previously available. Therefore, a literal translation is justified -- Ley de Antiterrorismo y de una Pena de Muerte Efectiva.   ",,,
,,,,,,,
,,,,,,,
appeal,,Apelar; recurrir,,"""recurrir"" is technically the generic, un-marked equivalent in Spanish for ""appeal"" in English. However, ""recursos"" include a number of remedies that, in English, would be equivalent to ""motions to reconsider"" -- a request for reconsideration that does not go to a higher court. In English, ""appeal"" implies, if not necessarily requires, that the same be to a court of higher instance. Moreover, in the Immigration context, all appeals are, in fact, to a court of higher instance (although maybe, once a case has been successfully appealed at the BIA and remanded to the EOIR for further hearings, this might in fact be a ""recurso""); thus, virtually whenever we are discussing appeals in the EOIR, it would be appropriate to talk about ""apelaciones"", which would be most accurately translated as ""appeals to a court of higher instance"". Of course, ""recurrir"" is *also* correct, but could be considered higher or more technical in its register, and perhaps should not be recommended due to that reason. See specifically Jowers, 164 and 168.",,,
,,,,,,,
,,,,,,,
appeal a case ,,"Apelar, recurrir un caso",,See 'appeal',,,
,,,,,,,
,,,,,,,
appeal dismissed ,,"La apelación quedó, fue desestimada",,See 'appeal',,,
,,,,,,,
,,,,,,,
"appeal, notice of ",,Aviso de apelación,,,,,
,,,,,,,
appear to be eligible (you) ,,"Parece que reúne, cumple con los requisitos",,"Keep in mind that 'elegible', while it is used, and if an LEP uses it, might be the best way to communicate the concept, technically means 'able to be chosen' and is a false cognate.",,,
,,,,,,,
,,,,,,,
applicant,,solicitante,,"Applicant: someone who is in asylum only or withholding only proceedings, or in a CFR or RFR procedure. Using the term during 240 proceedings is technically incorrect, but it occurs nonetheless. See 'parties' reference for more.",,,
,,,,,,,
,,,,,,,
applicant appears genuinely afraid of persecution,,solicitante parece tener un temor genuino/auténtico de la persecución,,See 'applicant',,,
,,,,,,,
,,,,,,,
applicant for admission,,solicitante de admisión,,see above,,,
,,,,,,,
,,,,,,,
applicant for political asylum ,,solicitante de asilo político,,see above,,,
,,,,,,,
,,,,,,,
application,,solicitud,,"compare with 'petición', which is more of a request or a motion.",,,
,,,,,,,
,,,,,,,
application for adjustment of status ,,solicitud de cambio de condición migratoria,,"See 'adjustment of status', above, and 'nationality and status' reference for  more.",,,
,,,,,,,
,,,,,,,
application for immigrant visa and alien registration,,"solicitud de visado de residente, inmigrante y registro como extranjero",,See 'immigrant visa' for more.,,,
,,,,,,,
,,,,,,,
Application Support Centers,,Centros de Asistencia en Solicitudes,,"USCIS says ""Centros de Asistencia en Solicitudes"". Given that these are USCIS offices, this is recommended.",,,
,,,,,,,
,,,,,,,
appointment package,,conjunto de documentos para la cita,,"As per Staff Interpreter Catherine Piña, this is not 'paquete' -- there is no box, no paper-wrapped package sent through the mail.",,,
,,,,,,,
,,,,,,,
apprehension,,"detención, arresto",,This term is often used euphemistically by DHS attorneys when they refer to migrants being stopped by ICE or CBP and detained.,,,
,,,,,,,
,,,,,,,
approval notice,,aviso de aprobación,,"This refers to USCIS Form I-797, issued when an application or petition has been approved. Note there are many versions of I-797 (I-797A-F), including the I-797C, which can in fact be a denial of an application. See https://www.uscis.gov/forms/filing-guidance/form-i-797-types-and-functions",,,
,,,,,,,
,,,,,,,
arrival date,,fecha de llegada,,"Llegada is one type of arrival; however, if we're talking about arrival that is admission, then we're talking about 'admisión'. See 'entry' for more.",,,
,,,,,,,
,,,,,,,
arriving alien,,Solicitante de admisión que es extranjero/Extranjero que solicita admisión,,"As per IJ DCW: The term “arriving alien” means an alien who seeks admission to or transit through the United States, as provided in 8 C.F.R. § 1235.1, at a port of entry, or an alien who is interdicted in international or United States waters and brought into the United States by any means, whether or not to a designated port-of-entry, and regardless of the means of transport.  8 C.F.R. § 1001.1(q).",,,
,,,,,,,
,,,,,,,
assault and battery,,Agresión y Lesiones,,"Veáse Jowers, pag. 258",,,
,,,,,,,
,,,,,,,
Assistant Chief Counsel ,,abogado del gobierno,,See 'Trial Attorney'.,,,
,,,,,,,
,,,,,,,
asylee,,asilado,,,,,
,,,,,,,
asylum,,Asilo,,,,,
,,,,,,,
