english,english-definition,spanish,spanish-definition,comments,proposals,category,tags
,,,,,
FIRST INSTANCE,,PRIMERA INSTANCIA,,,
Administrative closure,,sobreseímiento a nivel administrativo,,,
decision,"1. A judicial or agency determination after consideration ofthe facts and the law; esp., a ruling, order, or judgment pronounced by a court when considering or disposing of a case. See JUDGMENT (1);
OPINION (1). - decisional, adj.","(general) decisión; (EOIR written decision) auto, decisión; (EOIR ""final decision""), decisión firme, decisión final","(decision)  1. Gral. Acuerdo o resolución final de cualquier persona, organismo o establecimiento, público o privado. 2. Proc. Manifestación de la potestad resolutoria conocida a los jueces y tribunales, que los faculta para resolver, mediante auto o sentencia, la pretensión sometida a su consideración. 3. Eur. Acto jurídico de carácter obligatorio en todos sus elementos adoptado por las instituciones de la UE, que puede dirigirse o no a un destinatario específico. 4. Adm. Resolución de un órgano competente de la Administración. 5. Merc. Acuerdo societario. (auto) Proc. Resolución judicial motivada, estructurada con la debida separación de hechos, fundamentos y parte dispositiva, que decide los recursos interpuestos contra providencias o decretos, las cuestiones incidentales, los presupuestos procesales, la nulidad del procedimiento, así como los demás casos previstos en la ley.",See entry on 'affirm' or 'uphold' regarding 'firme'.,
finding,"finding. See FINDING OF FACT. finding of fact. (18c) A determination by a judge, jury, or administrative agency of a fact supported by the evidence in the record, usu. presented at the trial or hearing <he agreed with the jury's finding of fact that the driver did not stop before proceeding into the intersection>. Often shortened to finding. See FACT-FINDER. Cf. CONCLUSION OF FACT; CONCLUSION
OF LAW.","decisión, fallo, resolución judicial",,"For our purposes, 'finding' and 'ruling' should be considered synonyms. See 'ruling' for more. Note that a 'finding' in English frequently is limited in scope; a judge or other fact finder may make a finding regarding a specific issue of fact or law, although it can be used more broadly (""I find you guilty"" is technically a specific issue of law, but is often expressed using 'fallo' in Spanish). 'I've made a finding regarding removability', therefore, might more appropriately be a 'decisión', although 'the prebious IJ's finding regarding removability' could easily be 'el fallo del juez de lo migratorio previo en cuanto a la expulsabilidad' would also be appropriate.",
opinion," A court's written statement explaining its decision in a given case, usu. including the statement of facts, points of law, rationale, and dicta. - Abbr. op. - Also termed judicial opinion. See DECISION. Cf. JUDGMENT (1); RULING(l). ",auto,"Proc. Resolución judicial motivada, estructurada con la debida separación de hechos, fundamentos y parte dispositiva, que decide los recursos interpuestos contra providencias o decretos, las cuestiones incidentales, los presupuestos procesales, la nulidad del procedimiento, así como los demás casos previstos en la ley.",In the first instance context; see 'opinion' under second instance for more. Note that definitions for different types of 'opinions' cover a full two pages of Black's.,
sentence,"The judgment that a court formally pronounces after finding a criminal defendant guilty; the punishment imposed on a criminal wrongdoer <a
sentence of 20 years in prison>. See Fed. R. Crim. P. 32. Also termed judgment ofconviction. [Cases: Sentencing and Punishment ~1001.]","(noun) pena, condena; (verb) condenar (adj ""sentencing"") imposición de la pena, condena",(pena) 1. Pen. Consecuencia que el legislador asocia en la ley penal a la comisión de una infracción penal. 2. Pen. Privación o restricción de bienes o derechos impuesta por un órgano jurisdiccional a un sujeto culpable como consecuencia de la comisión de una infracción penal. 3. Pen. Clase de consecuencia jurídica o sanción que junto con el precepto o presupuesto conforma la norma penal. (condena) Pen. Efecto de condenar. Condenar. Pen. Imponer al culpable la pena correspondiente a la infracción penal cometida.,Note that definitions for different types of 'sentences' cover a full page of Black's.,
verdict,"1. A jury's finding or decision on the factual issues of a case. [Cases: Criminal Law (:::::> 870-894; Federal Civil Procedure (:::::>2191; Trial ~ 318.] 2. Loosely, in a nonjury trial, a judge's resolution of the issues of a case. [Cases: Federal Civil Procedure (:::::>2251; Trial ~387.]",veredicto,"1. Proc. Pronunciamiento del jurado que se produce una vez concluido el juicio oral, después de producidos los informes y oídos los acusados sobre diversos extremos fijados legalmente entre los que destacan los hechos y su valoración, y la culpabilidad o no del acusado. Se presenta por el juez para que, tras la correspondiente deliberación y alcanzando las mayorías previstas en la ley, se transcriba en el acta correspondiente y se lea en audiencia pública. 2. Pen. Decisión del jurado en la que este declara como probado o no probado cada uno de los hechos que le ha planteado el magistrado-presidente y, con base en ello, declara la culpabilidad o inculpabilidad del acusado respecto del delito que se le imputaba. Se hará constar por escrito en el acta correspondiente y se leerá en audiencia pública.","Black's second definition of this term, including the use of the words 'loosely' and 'resolution', is notable. Note that definitions for different types of 'verdicts' cover a page and a half of Black's.",
order,"A command, direction, or instruction. See MA::-;DATE (1). 2. A written direction or command delivered by a court or judge.• The word generally embraces final decrees as well as interlocutory directions or commands. - Also termed court order:]udicial order. See MANDAMUS. [Cases: Federal Civil Procedure Motions C::>46.J ""An order is the mandate or determination of the court upon some subsidiary or collateral matter arising in an action, not disposing of the merits, but adjudicating a preliminary point or directing some step in the proceedings."" 1 Henry Campbell Black, A Treatise on the Law ofJudgments § 1, at 5 (2d ed. 1902). ""While an order may under some circumstances amount to ajudgment, they must be distinguished, owing to the different consequences flowing from them, not only in the matter of enforcement and appeal but in other respects, as, for instance, the time within which proceedings to annul them must be taken. Rulings on motions are ordinarily orders rather than judgments. The class of judgments and of decrees formerly called interlocutory is included in the definition given in [modern codes] of the word 'order.'''",orden,"1. Gral. Forma que revisten algunas decisiones administrativas, como las dictadas por un ministro o un consejero autonomico. 2. Gral. Relación de asuntos. 3. Gral. Mandato dictado por una autoridad judicial o administrativa. 4. Preferencia, preeminencia, jerarquía. (Acepciones 5 y 6 tienen que ver con usos militares y bursátiles).",Note that definitions for different types of 'orders' cover more than two pages of Black's.,
judgment,1. A court's final determination of the rights and obligations of the parties in a case .• The term judgment includes an equitable decree and any order from which an appeal lies. Fed. R. Civ. P. 54. Also spelled (esp. in BrE) judgement. - Abbr. 1. - Also termed (historically) judgment ex cathedra. Cf. RULING (1); OPINION (1). [Cases: Federal Civil Procedure 2391-2628; Judgment C=o1.] 2. English law. An opinion delivered by a member of the appellate committee of the House of Lords; a Law Lord's judicial opinion. Also termed (in sense 2) speech.,"sentencia, resolución judicial","Proc. Resolución que decide definitivamente el pleito o causa en cualquier instancia o recurso, o que, según las leyes procesales, debe revestir esta forma.","judgment' may be differentiated from 'ruling' and 'finding' in that 'judment' would refer to the resolution of an entire case, and not any of the issues of fact or law piecemeal within the case.",
ruling,"ruling, n. (16c) 1. The outcome of a court's decision either on some point oflaw or on the case as a whole. Also termed legal ruling. Cf. JUDGMENT (1); OPINION (1). [Cases: Courts C:"";)88.] ""A distinction is sometimes made between rules and rulings. Whether or not a formal distinction is declared, in common usage 'legal ruling' (or simply 'ruling') is a term ordinarily used to signify the outcome of applying a legal test when that outcome is one of relatively narrow impact. The immediate effect is to decide an issue in a single case. This meaning contrasts, for example, with the usual meaning of 'legal rule' (or simply 'rule'). The term 'rule' ordinarily refers to a legal proposition of general application. A 'ruling' may have force as precedent, but ordinarily it has that force because the conclusion it
expresses (for example, 'objection sustained') explicitly depends upon and implicitly reiterates a 'rule' a legal proposition of more general application ...."" Robert E. Keeton, Judging 67-68 (1990). 2. Parliamentary law. The chair's decision on a point of order. rule, vb.","decisión, fallo, resolución judicial",,"For our purposes, 'finding' and 'ruling' should be considered synonyms. See 'finding' for more.",
