english,english-definition,spanish,spanish-definition,comments,proposals
"A standard of proof, as per Black's: The degree or level of proof demanded in a specific case, such as ""beyond a reasonable doubt"" or ""by a preponderance of the evidence."" See BURDEN OF PERSUASION. This concept is so essential to the Anglo-Saxon understanding of law that it can be difficult to describe it, and to conceive of a judicial system without it. It could perhaps be described as the minimum level by which a case can be considered to be proven, based on the wording of the law (be it statutory or case law). When reading Spanish-language discussions of the concept, you will encounter the term umbral used to describe this idea: a ""threshold for proof"". While this concept  does not exist as such in civil law countries, it is beginning to be imported, and is frequently described using a very literal phrasing, ""estándar de prueba"". See, notably, Los estándares de prueba en el proceso penal español, Jordi Ferrer Beltrán, Estándares probatorios en el sistema acusatorio y su desarrollo en Colombia, Claudia Edith Velandia Coy, Aplicación del estándar de prueba por los jueces promiscuos, autores varios.",,,,,
Grounds,"ground, n. (usu. pl.) (13c) The reason or point that something (as a legal claim or argument) relies on for validity <grounds for divorce> <several grounds for appeal>.  ground, vb. (14c) 1. To provide a basis for (something, such as a legal claim or argument) <the decision was grounded on public policy>. 2. To base (something, such as a legal principle or judicial decision) on <the court grounded the decision on common law> <strict liability is grounded on public policy>. In a study of some 120 pages of the ACNUR manual, the following formulations were found to express 'grounds': motivo, as in, the 'ennumerated grounds'; a causa de, debido a, por razones de and por razones fundadas. It would seem that, at least according to the ACNUR Manual, that 'grounds' is a specific term of art in the immigration/asylum context.",indicios,"1. Pen. Y Proc. Circunstancia que apunta a la existencia de un hecho probablemente delictivo (""indicios racionales de criminalidad"") y justifica la incoación de la investigación, su continuación o la exigencia de prestación de fianza para asegurar responsabilidades pecunarias. LECrim, arts. 486 y 589. 2. Pen. Circunstancia que, en conjunción con otras, permite deducir razonadamente que se ha producido un determinado hecho e incluso tenerlo por probado. -DEJ Panhispanico",,
Cause,,Causa,"*CAUSA. A. En general. El motivo que nos mueve o la razón que nos inclina a hacer alguna cosa. También, el antecedente necesario que origina un efecto. Se habla asimismo de causa como fundamento por
el cual adquirimos algún derecho y en este sentido se confunde a veces con el título. B. En Derecho Civil. La causa existe tanto en las obligaciones como en los contratos. Para algunos, es el fin esencial o más
próximo que los contratantes se proponen al contratar. C. En Derecho Romano. Como variedad del Derecho Civil en general, resulta de interés señalar las diferentes acepciones que los romanistas le señalan a esta voz en las fuentes genuinas del mismo: a) motivo o razón personal de un acto jurídico, como metus causa (debido al miedo) o causa donandi (la causa de donar, por un favor recibido, para seducir, etc.); b) el fin
directo e inmediato, como la tradición o entrega, por causa de venta, de pagos; c) acto jurídico o hecho que precede a un negocio jurídico, aunque este matiz no proceda de los jurisconsultos romanos antiguos; d)
elemento accesorio, como la condición, el modo y el plazo en la obligación; e) litigio, proceso; f) negocio jurídico en general; g) situación de hecho que sirve de soporte a una relación jurídica conforme a su destino;
como la causa dotis, permanente, lo mismo que las cargas matrimoniales a cuyo alivio está destinada. D. En Derecho Político. Causa significa el partido o los intereses que se sirven o con los cuales se simpatiza en
una lucha electoral, parlamentaria, ciudadana; también, un bando en una guerra civil o internacional. E. En Derecho Procesal. Contienda judicial; esto es, todo asunto entre partes que se sigue y ventila
contradictoriamente ante un tribunal, en la forma establecida por las leyes, hasta su resolución definitiva. Expediente o proceso que se forma para la substanciación del negocio o cuerpo mismo de los autos.
CIVIL. Litigio ante la jurisdicción ordinaria. CRIMINAL. Juicio ante la jurisdicción penal, para averiguación de los delitos y de sus autores, y aplicar la decisión legal pertinente. ILICITA. La contraria a las
leyes, a la moral o al orden público. LICITA. La ajustada a las leyes, a la moral y al orden público; o, al menos, no prohibida por tales normas. LUCRATIVA. La que posee por título la liberalidad o la beneficencia.
NULA. La que no surte efectos positivos en Derecho, porque vicia el acto esencialmente y lo condena a la ineficacia; salvo confumación o prescripción de la acción contra el mismo. La causa ilícita contra el orden
público y la falsa anulan los negocios jurídicos en que se dan y, más realistamente, donde se descubren y se aducen contra su validez. PROPIA. El derecho, interés o deseo de uno. (v. Nombre.propio [En].) PUBLICA. La
utilidad o el bien general. El interés de la patria. La conveniencia de los más sin olvido de los menos. SIMULADA. La presentada como verdadera por las partes, sin tener en sí existencia real.",,
,,fundamento juridico,"(Ossorio) Fundamento jurídico
Base sobre la que estriba el Derecho, la razón
principal y motivo último en que asienta, afianza
y asegura el mundo jurídico social (Herrera
Figueroa).",,
"Basis, bases",,fundamento,,"ACNUR, 'fundamento', p. 87",
Indicia,,Indicios,"En el procedimiento criminal se llaman indicios, modo que conduzcan lógica y naturalmente al hecho de que se trata; que sean concordantes los unos con los otros de manera que tengan íntima conexión entre sí y se relacionen sin esfuerzo, desde el punto de partida hasta el fin buscado, y que se funden en hechos reales y probados, nunca en otras presunciones o indicios. Estos son los requisitos exigidos por la legislación predominante. y también presunciones, las circunstancias y antecedentes que, teniendo relación con el delito, pueden razonablemente fundar una opinión sobre hechos determinados. Así, pues, el indicio constituye un medio probatorio conocido como “prueba indiciaria”. Puede decirse que generalmente los indicios abren el camino a la investigación de los delitos. Unos muebles volcados, la posición de la víctima, la marca de un pie o una mano, la ceniza de un cigarro, un trozo de tela son elementos que, técnicamente examinados, pueden orientar sobre el posible móvil, el momento de la comisión y acerca del
autor. Tienen, por lo tanto, un extraordinario valor en criminalística, y, unidos a otras pruebas, sirven al juzgador para establecer un juicio definitivo. A veces, los indicios hacen por sí solos plena prueba, siempre que el cuerpo del delito conste por pruebas directas e inmediatas; que sean varios, reuniendo, cuando menos, el carácter de anteriores al hecho y concomitantes con él; que se relacionen con el hecho primordial que debe servir de punto de partida para la conclusión que se busca; que sean directos, de modo que conduzcan lógica y naturalmente al hecho de que se trata; que sean concordantes los unos con los otros de manera que tengan íntima conexión entre sí y se relacionen sin esfuerzo, desde el punto de partida hasta el fin buscado, y que se funden en hechos reales y
probados, nunca en otras presunciones o indicios. Estos son los requisitos exigidos por la legislación predominante.",,
Evidence,,Pruebas,,,
Proof,,"comprobante, prueba",,,
Probable cause,"1. Criminal law. A reasonable ground to suspect that a person has committed or is committing a crime or that a place contains specific items connected with a crime.• Under the Fourth Amendment, probable cause - which amounts to more than a bare suspicion but less than evidence that would justify a conviction must be shown before an
arrest warrant or search warrant may be issued. Also termed reasonable cause; sufficient cause; reasonable grounds; reasonable excuse Cf. reasonable suspicion
under SUSPICION. [Cases: Arrest C=>63.4(2).] ""Probable cause may not be established simply by showing that the officer who made the challenged arrest or search
subjectively believed he had grounds for his action. As emphasized in Beck v. Ohio [379 U.S. 89, 85 S.Ct. 223 (1964)J: 'If subjective good faith alone were the test, the
protection of the Fourth Amendment would evaporate, and the people would be ""secure in their persons, houses, papers, and effects"" only in the discretion of the police.'
The probable cause test, then, is an objective one; for there to be probable cause, the facts must be such as would warrant a belief by a reasonable man."" Wayne R. LaFave
& Jerold H. Israel. Criminal Procedure § 3.3, at 140 (2d ed.1992).
2. Torts. A reasonable belief in the existence of facts on which a claim is based and in the legal validity of the claim itself.• In this sense, probable cause is usu. assessed as of the time when the claimant brings the claim (as by filing suit). 3. A reasonable basis to support issuance of an administrative warrant based on either (1) specific evidence of an existing violation of administrative rules, or (2) evidence showing that a particular business meets the legislative or administrative standards permitting an inspection ofthe business premises. [Cases: Searches and Seizures ~129.]",Motivo fundado,"See excellent discussion by John Zuluaga, De los motivos ""fundados"" para la afectación de derechos fundamentales en el proceso penal colombiano Nuevo Foro Penal No. 83, julio-diciembre 2014, Universidad EAFIT",,
Reason to believe,Black's: reasonably believe. To believe (a given fact or combination of facts) under circumstances in which a reasonable person would believe.,"razón, motivo para creer",,,
